16, 14, 12, 1, 8, 4, 9, 6, 15, 13, 11, 2, 7, 3, 10, 5 SEQ=SHELL
15, 13, 11, 1, 7, 3, 9, 5, 16, 14, 12, 2, 8, 4, 10, 6 INCR=8
7, 3, 9, 1, 8, 4, 10, 2, 15, 13, 11, 5, 16, 14, 12, 6 INCR=4
7, 1, 8, 2, 9, 3, 10, 4, 11, 5, 12, 6, 15, 13, 16, 14 INCR=2
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 INCR=1
16, 14, 12, 1, 8, 4, 9, 6, 15, 13, 11, 2, 7, 3, 10, 5 SEQ=KNUTH
3, 10, 5, 1, 8, 4, 9, 6, 15, 13, 11, 2, 7, 16, 14, 12 INCR=13
3, 4, 5, 1, 7, 10, 9, 2, 8, 13, 11, 6, 15, 16, 14, 12 INCR=4
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 INCR=1
16, 14, 12, 1, 8, 4, 9, 6, 15, 13, 11, 2, 7, 3, 10, 5 SEQ=CIURA
11, 2, 7, 1, 8, 4, 9, 6, 15, 13, 16, 14, 12, 3, 10, 5 INCR=10
8, 2, 7, 1, 11, 3, 9, 5, 12, 4, 10, 6, 15, 13, 16, 14 INCR=4
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 INCR=1
3, 10, 5, 16, 14, 12, 1, 8, 4, 9, 6, 15, 13, 11, 2, 7 SEQ=SHELL
3, 9, 5, 15, 13, 11, 1, 7, 4, 10, 6, 16, 14, 12, 2, 8 INCR=8
3, 9, 1, 7, 4, 10, 2, 8, 13, 11, 5, 15, 14, 12, 6, 16 INCR=4
1, 7, 2, 8, 3, 9, 4, 10, 5, 11, 6, 12, 13, 15, 14, 16 INCR=2
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 INCR=1
3, 10, 5, 16, 14, 12, 1, 8, 4, 9, 6, 15, 13, 11, 2, 7 SEQ=KNUTH
3, 2, 5, 16, 14, 12, 1, 8, 4, 9, 6, 15, 13, 11, 10, 7 INCR=13
3, 2, 1, 7, 4, 9, 5, 8, 13, 11, 6, 15, 14, 12, 10, 16 INCR=4
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 INCR=1
3, 10, 5, 16, 14, 12, 1, 8, 4, 9, 6, 15, 13, 11, 2, 7 SEQ=CIURA
3, 10, 5, 11, 2, 7, 1, 8, 4, 9, 6, 15, 13, 16, 14, 12 INCR=10
2, 7, 1, 8, 3, 9, 5, 11, 4, 10, 6, 12, 13, 16, 14, 15 INCR=4
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 INCR=1
